generator,acc_0.5,acc_val_thr,acc_oracle,ap,auc,val_threshold
DFDC,64.35,63.95,64.55,70.82,70.17,0.440
ProGAN,98.35,98.05,99.40,99.99,99.99,0.440
StyleGAN,86.15,86.45,90.85,96.69,96.14,0.440
StyleGAN2,84.25,84.60,90.15,95.89,95.64,0.440
BigGAN,87.50,87.00,94.60,97.71,98.49,0.440
CycleGAN,78.60,78.05,90.00,96.34,96.88,0.440
StarGAN,88.60,87.95,95.15,99.18,99.13,0.440
GauGAN,88.95,88.45,95.35,98.50,98.96,0.440
Deepfake,80.05,79.80,83.80,90.91,90.12,0.440
PNDM,90.60,90.65,90.85,96.58,96.59,0.440
Guided,92.35,92.10,94.15,97.25,96.01,0.440
DALL-E,72.50,72.75,75.35,83.38,81.94,0.440
VQ-Diffusion,91.20,90.95,91.20,96.1python calibrate_heldout.py --checkpoints checkpoints/epoch_020.pt3,95.32,0.440
