generator,acc_0.5,acc_global,acc_domain,ap,auc,domain_threshold,global_threshold
DFDC,88.00,88.21,88.29,94.29,94.87,0.525,0.515
ProGAN,99.86,99.86,99.64,100.00,100.00,0.365,0.515
StyleGAN,98.50,98.57,98.14,99.93,99.93,0.610,0.515
StyleGAN2,98.79,98.86,98.50,99.91,99.92,0.465,0.515
BigGAN,97.79,97.79,98.07,99.92,99.91,0.690,0.515
CycleGAN,98.93,98.93,99.00,99.96,99.96,0.640,0.515
StarGAN,99.29,99.29,99.57,99.98,99.97,0.380,0.515
GauGAN,99.00,99.00,99.36,99.98,99.98,0.565,0.515
Deepfake,90.71,90.14,95.43,99.36,99.30,0.270,0.515
PNDM,91.29,90.86,93.43,98.27,98.10,0.375,0.515
Guided,96.14,96.14,96.00,98.86,98.59,0.615,0.515
DALL-E,95.14,95.50,95.36,99.44,99.41,0.475,0.515
VQ-Diffusion,94.14,93.86,94.21,98.53,98.21,0.445,0.515
