generator,table,acc,ap,auc
DFDC,1,0.460500,0.346001,0.209764
ProGAN,2,0.508500,0.510354,0.512598
StyleGAN,2,0.547000,0.573851,0.567364
StyleGAN2,2,0.591500,0.613410,0.621156
BigGAN,2,0.516000,0.528231,0.522771
CycleGAN,2,0.527000,0.526870,0.531710
StarGAN,2,0.493500,0.492341,0.486885
GauGAN,2,0.573500,0.571765,0.596155
Deepfake,2,0.472500,0.470526,0.458066
PNDM,3,0.586000,0.608025,0.626414
Guided,3,0.541500,0.541012,0.554064
DALL-E,3,0.533000,0.503680,0.526072
VQ-Diffusion,3,0.584500,0.646682,0.614100
