generator,table,acc,ap,auc
DFDC,1,0.442000,0.355700,0.233594
ProGAN,2,0.544500,0.550383,0.569073
StyleGAN,2,0.569000,0.593055,0.601615
StyleGAN2,2,0.672000,0.752065,0.751102
BigGAN,2,0.543000,0.563397,0.573437
CycleGAN,2,0.554000,0.549451,0.578130
StarGAN,2,0.531500,0.560228,0.575184
GauGAN,2,0.598000,0.609798,0.626846
Deepfake,2,0.500000,0.504401,0.502956
PNDM,3,0.480000,0.470834,0.465935
Guided,3,0.576000,0.592196,0.610246
DALL-E,3,0.562500,0.551447,0.578207
VQ-Diffusion,3,0.527500,0.582251,0.533903
