epoch,train_loss,val_acc,val_ap,val_auc,val_f1,epoch_sec,elapsed_min,weights_changed_pct
1,0.185738,0.379630,0.413365,0.339678,0.352031,205.7,3.43,0.1580
2,0.184650,0.375926,0.409669,0.332482,0.319192,199.3,6.76,0.1580
3,0.185325,0.375926,0.408934,0.332084,0.319192,192.7,9.97,0.1580
4,0.184881,0.375926,0.409563,0.333285,0.319192,191.3,13.17,0.1580
5,0.185436,0.374074,0.409658,0.333169,0.326693,192.0,16.37,0.1580
6,0.184213,0.379630,0.410144,0.334253,0.323232,206.2,19.96,0.1580
7,0.184432,0.374074,0.410114,0.334157,0.307377,197.5,23.26,0.1580
8,0.186615,0.379630,0.410836,0.335393,0.352031,196.1,26.53,0.1580
9,0.184437,0.381481,0.410458,0.334830,0.334661,206.6,29.98,0.1580
10,0.185664,0.377778,0.410609,0.335091,0.333333,196.1,33.25,0.1580
11,0.185819,0.377778,0.408393,0.331617,0.335968,197.5,36.62,0.1580
12,0.185774,0.381481,0.411603,0.337261,0.332000,196.6,39.90,0.1580
13,0.186492,0.375926,0.410947,0.335970,0.343080,198.1,43.20,0.1580
14,0.185617,0.375926,0.410037,0.333484,0.319192,187.0,46.32,0.1580
15,0.185838,0.374074,0.410503,0.334816,0.326693,180.5,49.34,0.1580
16,0.186113,0.377778,0.409114,0.331692,0.314286,182.1,52.38,0.1580
17,0.185717,0.383333,0.409744,0.332976,0.337972,181.4,55.41,0.1580
18,0.186582,0.379630,0.409960,0.333333,0.331337,180.7,58.43,0.1580
19,0.184850,0.375926,0.408596,0.331754,0.332673,178.6,61.41,0.1580
20,0.185403,0.379630,0.411915,0.337137,0.333996,181.1,64.43,0.1580
21,0.184879,0.381481,0.410524,0.334556,0.332000,180.2,67.52,0.1580
22,0.186114,0.375926,0.410278,0.334377,0.330020,179.9,70.52,0.1580
23,0.185642,0.377778,0.410675,0.334926,0.346304,181.5,73.55,0.1580
24,0.185521,0.379630,0.411481,0.336767,0.336634,180.1,76.56,0.1580
25,0.183956,0.372222,0.408546,0.331740,0.331361,186.5,79.67,0.1580
26,0.185150,0.377778,0.408890,0.332303,0.328000,182.0,82.71,0.1580
27,0.186942,0.379630,0.410653,0.335503,0.344423,183.3,85.77,0.1580
28,0.186760,0.375926,0.407399,0.327964,0.313646,182.0,88.81,0.1580
29,0.183758,0.377778,0.407911,0.330134,0.330677,177.9,91.78,0.1580
30,0.185748,0.383333,0.410684,0.335366,0.337972,180.7,94.79,0.1580
31,0.185472,0.381481,0.410245,0.334720,0.337302,179.3,97.79,0.1580
32,0.186158,0.381481,0.411010,0.336245,0.345098,175.2,100.72,0.1580
33,0.185568,0.379630,0.409977,0.333814,0.336634,179.4,103.71,0.1580
34,0.187249,0.375926,0.408628,0.331246,0.313646,178.8,106.70,0.1580
35,0.185690,0.381481,0.411749,0.336300,0.352713,179.0,109.68,0.1580
36,0.184882,0.387037,0.409818,0.333553,0.349705,178.7,112.67,0.1580
37,0.185938,0.377778,0.410239,0.333896,0.335968,181.0,115.69,0.1580
38,0.185470,0.379630,0.410143,0.333896,0.331337,182.9,118.75,0.1580
39,0.186897,0.377778,0.407520,0.329598,0.297071,188.8,121.90,0.1580
40,0.186377,0.379630,0.411008,0.336094,0.320487,189.7,125.06,0.1580
41,0.186100,0.375926,0.410975,0.335448,0.324649,204.6,128.48,0.1580
42,0.184567,0.377778,0.410415,0.334624,0.333333,195.0,131.74,0.1580
43,0.184232,0.377778,0.411406,0.336533,0.330677,192.4,134.95,0.1580
44,0.184482,0.377778,0.411008,0.335613,0.328000,189.6,138.11,0.1580
45,0.185029,0.379630,0.411019,0.334995,0.352031,182.6,141.16,0.1580
