epoch,train_loss,val_acc,val_auc,val_ap,weights_changed_pct
1,0.177682,0.462963,0.422513,0.465352,11.9844
2,0.177157,0.453704,0.418943,0.461661,21.2833
3,0.177404,0.459259,0.424917,0.466628,31.5850
4,0.177663,0.461111,0.423049,0.465437,41.7940
5,0.178148,0.459259,0.422445,0.464468,50.7110
6,0.178804,0.457407,0.422651,0.464773,55.2720
7,0.179095,0.459259,0.422994,0.465084,57.4737
8,0.177602,0.461111,0.422939,0.465487,58.3294
9,0.177088,0.453704,0.418613,0.461582,58.7873
10,0.177218,0.464815,0.423324,0.465703,58.9517
11,0.178081,0.464815,0.422568,0.464716,59.0419
12,0.177964,0.461111,0.422555,0.465173,59.0773
13,0.178372,0.468519,0.425548,0.467227,59.0943
14,0.176536,0.464815,0.423104,0.465436,59.0976
15,0.178467,0.453704,0.418874,0.461412,59.0990
16,0.177713,0.455556,0.417185,0.460966,59.0999
17,0.177308,0.455556,0.423887,0.465363,59.1002
18,0.178046,0.461111,0.424408,0.465956,59.1003
19,0.177612,0.472222,0.427114,0.467789,59.1004
20,0.177981,0.461111,0.423900,0.465708,59.1003
21,0.176950,0.457407,0.423433,0.465279,59.1003
22,0.177922,0.457407,0.423612,0.465849,59.1003
23,0.177765,0.461111,0.421016,0.462700,59.1003
24,0.175967,0.462963,0.424271,0.465791,59.1003
25,0.177599,0.459259,0.421786,0.464413,59.1003
