model,generator,table,acc,ap,recall,f1,auc,n_samples
Ours (Clip+F+A+G),DFDC,1,0.903500,0.969077,0.939000,0.906808,0.966258,2000
Ours (Clip+F+A+G),ProGAN,2,0.964000,0.994916,0.981000,0.964602,0.994276,2000
Ours (Clip+F+A+G),StyleGAN,2,0.964000,0.993669,0.964000,0.964000,0.993046,2000
Ours (Clip+F+A+G),StyleGAN2,2,0.955000,0.987674,0.961000,0.955268,0.988595,2000
Ours (Clip+F+A+G),BigGAN,2,0.946500,0.991695,0.990000,0.948730,0.992834,2000
Ours (Clip+F+A+G),CycleGAN,2,0.951562,0.988307,0.959375,0.951938,0.987822,640
Ours (Clip+F+A+G),StarGAN,2,0.987500,0.998872,0.981000,0.987418,0.998489,2000
Ours (Clip+F+A+G),GauGAN,2,0.979000,0.998898,0.994000,0.979310,0.998866,2000
Ours (Clip+F+A+G),Deepfake,2,0.923500,0.983418,0.879000,0.919937,0.981217,2000
Ours (Clip+F+A+G),PNDM,3,0.933500,0.983807,0.895000,0.930837,0.980857,2000
Ours (Clip+F+A+G),Guided,3,0.960500,0.996368,0.993000,0.961743,0.996242,2000
Ours (Clip+F+A+G),DALL-E,3,0.957000,0.989059,0.945000,0.956478,0.986645,2000
Ours (Clip+F+A+G),VQ-Diffusion,3,0.912000,0.967871,0.903000,0.911201,0.964808,2000
