generator,table,acc,ap,auc
DFDC,1,0.561000,0.574009,0.596695
ProGAN,2,0.963500,0.999057,0.999021
StyleGAN,2,0.766500,0.890353,0.885708
StyleGAN2,2,0.720500,0.867441,0.872281
BigGAN,2,0.868000,0.962829,0.965031
CycleGAN,2,0.776000,0.923146,0.923082
StarGAN,2,0.823500,0.986067,0.984311
GauGAN,2,0.908000,0.990430,0.990349
Deepfake,2,0.840500,0.931692,0.929220
PNDM,3,0.837000,0.917173,0.912785
Guided,3,0.875000,0.947266,0.934839
DALL-E,3,0.672500,0.764653,0.740264
VQ-Diffusion,3,0.886000,0.943143,0.937122
